f,
8/19/16 12:38,
Wavelength (nm),Absorbance
401.5,-0.032921
401,-0.033004
400.5,-0.033381
400,-0.03291
399.5,-0.033555
399,-0.033319
398.5,-0.033091
398,-0.032962
397.5,-0.033333
397,-0.032769
396.5,-0.033279
396,-0.03312
395.5,-0.033184
395,-0.033006
394.5,-0.033454
394,-0.033374
393.5,-0.03329
393,-0.033402
392.5,-0.033073
392,-0.033514
391.5,-0.033296
391,-0.033192
390.5,-0.033319
390,-0.033079
389.5,-0.03321
389,-0.033226
388.5,-0.033662
388,-0.032994
387.5,-0.033367
387,-0.033574
386.5,-0.033644
386,-0.033172
385.5,-0.033545
385,-0.033422
384.5,-0.033369
384,-0.03353
383.5,-0.033372
383,-0.033629
382.5,-0.033544
382,-0.033691
381.5,-0.033203
381,-0.033392
380.5,-0.033555
380,-0.033854
379.5,-0.033336
379,-0.033538
378.5,-0.033125
378,-0.033551
377.5,-0.033381
377,-0.033617
376.5,-0.033285
376,-0.033857
375.5,-0.033402
375,-0.033411
374.5,-0.033169
374,-0.033555
373.5,-0.033961
373,-0.033276
372.5,-0.033322
372,-0.033238
371.5,-0.034213
371,-0.033808
370.5,-0.03347
370,-0.033685
369.5,-0.03396
369,-0.033349
368.5,-0.03333
368,-0.033462
367.5,-0.033653
367,-0.034051
366.5,-0.03376
366,-0.033985
365.5,-0.033964
365,-0.033767
364.5,-0.033559
364,-0.033972
363.5,-0.033811
363,-0.034029
362.5,-0.034291
362,-0.034211
361.5,-0.034211
361,-0.03402
360.5,-0.034131
360,-0.034098
359.5,-0.034364
359,-0.033921
358.5,-0.03382
358,-0.033994
357.5,-0.034373
357,-0.033869
356.5,-0.034247
356,-0.034493
355.5,-0.034287
355,-0.033906
354.5,-0.034431
354,-0.034315
353.5,-0.034877
353,-0.034583
352.5,-0.034125
352,-0.034294
351.5,-0.034285
351,-0.034304
350.5,-0.034143
350,-0.03455
349.5,-0.034322
349,-0.034246
348.5,-0.033742
348,-0.034152
347.5,-0.03384
347,-0.034677
346.5,-0.034284
346,-0.034306
345.5,-0.034643
345,-0.034941
344.5,-0.034691
344,-0.034655
343.5,-0.034918
343,-0.034609
342.5,-0.03439
342,-0.034529
341.5,-0.034298
341,-0.034808
340.5,-0.034239
340,-0.034786
339.5,-0.034249
339,-0.034751
338.5,-0.03468
338,-0.034913
337.5,-0.035026
337,-0.034729
336.5,-0.034816
336,-0.034563
335.5,-0.034774
335,-0.034951
334.5,-0.035453
334,-0.035332
333.5,-0.034746
333,-0.035138
332.5,-0.034955
332,-0.035041
331.5,-0.034697
331,-0.034774
330.5,-0.034834
330,-0.034973
329.5,-0.035195
329,-0.035292
328.5,-0.035288
328,-0.035322
327.5,-0.035239
327,-0.035458
326.5,-0.035613
326,-0.035483
325.5,-0.035543
325,-0.035611
324.5,-0.035505
324,-0.035646
323.5,-0.03554
323,-0.035573
322.5,-0.0355
322,-0.035521
321.5,-0.035513
321,-0.035522
320.5,-0.035642
320,-0.035546
319.5,-0.035642
319,-0.035675
318.5,-0.036072
318,-0.035783
317.5,-0.035857
317,-0.035924
316.5,-0.035829
316,-0.035841
315.5,-0.035753
315,-0.035998
314.5,-0.035994
314,-0.03593
313.5,-0.036214
313,-0.036001
312.5,-0.035918
312,-0.036154
311.5,-0.036013
311,-0.036135
310.5,-0.036157
310,-0.036563
309.5,-0.036256
309,-0.036177
308.5,-0.036292
308,-0.036206
307.5,-0.036353
307,-0.036212
306.5,-0.036416
306,-0.036387
305.5,-0.036626
305,-0.036307
304.5,-0.036489
304,-0.036312
303.5,-0.036457
303,-0.036588
302.5,-0.036692
302,-0.036482
301.5,-0.036419
301,-0.036374
300.5,-0.03685
300,-0.036666
299.5,-0.036702
299,-0.036751
298.5,-0.036602
298,-0.036715
297.5,-0.036889
297,-0.036973
296.5,-0.036697
296,-0.036942
295.5,-0.036945
295,-0.036879
294.5,-0.03699
294,-0.037284
293.5,-0.037141
293,-0.036806
292.5,-0.03685
292,-0.03725
291.5,-0.036873
291,-0.037445
290.5,-0.037234
290,-0.037325
289.5,-0.037204
289,-0.037342
288.5,-0.037275
288,-0.037198
287.5,-0.037028
287,-0.037677
286.5,-0.037434
286,-0.037108
285.5,-0.037532
285,-0.037536
284.5,-0.037904
284,-0.037504
283.5,-0.037465
283,-0.037471
282.5,-0.037873
282,-0.037835
281.5,-0.037654
281,-0.037826
280.5,-0.037729
280,-0.037805
279.5,-0.037693
279,-0.037867
278.5,-0.037745
278,-0.037957
277.5,-0.037829
277,-0.038065
276.5,-0.037593
276,-0.03778
275.5,-0.038048
275,-0.038063
274.5,-0.038021
274,-0.038099
273.5,-0.038356
273,-0.038341
272.5,-0.038355
272,-0.038547
271.5,-0.038743
271,-0.038614
270.5,-0.038495
270,-0.038397
269.5,-0.038597
269,-0.038651
268.5,-0.03862
268,-0.038535
267.5,-0.038397
267,-0.038698
266.5,-0.038954
266,-0.03882
265.5,-0.038794
265,-0.038908
264.5,-0.038791
264,-0.038918
263.5,-0.039316
263,-0.039338
262.5,-0.039106
262,-0.039124
261.5,-0.039197
261,-0.039062
260.5,-0.039265
260,-0.03935
259.5,-0.039331
259,-0.039238
258.5,-0.039527
258,-0.039571
257.5,-0.039726
257,-0.039754
256.5,-0.039734
256,-0.039715
255.5,-0.03995
255,-0.040083
254.5,-0.040228
254,-0.039993
253.5,-0.040374
253,-0.040124
252.5,-0.040325
252,-0.040371
251.5,-0.040283
251,-0.040452
250.5,-0.040315
250,-0.040692
249.5,-0.040542
249,-0.040864
248.5,-0.040785
248,-0.040936
247.5,-0.040932
247,-0.041038
246.5,-0.040948
246,-0.041223
245.5,-0.041203
245,-0.041272
244.5,-0.041472
244,-0.041457
243.5,-0.041634
243,-0.041678
242.5,-0.041799
242,-0.04198
241.5,-0.041986
241,-0.041936
240.5,-0.042073
240,-0.042347
