DI water2,
8/19/16 12:30,
Wavelength (nm),Absorbance
387.5,-0.000005
387,-0.000404
386.5,-0.000346
386,0.000242
385.5,-0.000032
385,-0.000289
384.5,-0.000262
384,-0.000423
383.5,0.00005
383,-0.000039
382.5,-0.000397
382,-0.000488
381.5,0.000085
381,0.000304
380.5,-0.000376
380,-0.000489
379.5,0.000232
379,0.000331
378.5,0.000468
378,-0.000016
377.5,0.000251
377,-0.000045
376.5,0.000468
376,-0.00029
375.5,-0.000148
375,0.000237
374.5,0.000507
374,-0.000033
373.5,0.000467
373,0.00024
372.5,-0.000008
372,-0.000029
371.5,-0.000282
371,-0.00012
370.5,-0.000179
370,0.000246
369.5,-0.000457
369,0.00018
368.5,0.000246
368,-0.000465
367.5,0.000637
367,-0.000255
366.5,-0.000272
366,-0.000357
365.5,-0.000424
365,0.000036
364.5,0.000618
364,0.000008
363.5,0.000126
363,-0.000352
362.5,-0.000055
362,-0.000232
361.5,-0.000231
361,-0.000215
360.5,0.000096
360,-0.000053
359.5,-0.000127
359,0.000338
358.5,0.000396
358,0.000514
357.5,-0.0004
357,0.000037
356.5,-0.000249
356,-0.000265
355.5,-0.000211
355,0.000089
354.5,-0.00053
354,-0.000026
353.5,-0.000701
353,-0.000234
352.5,-0.00013
352,-0.000366
351.5,-0.000018
351,-0.000016
350.5,0.000181
350,-0.000291
349.5,0.000133
349,0.000694
348.5,0.001138
348,0.000276
347.5,0.000427
347,-0.000385
346.5,-0.000255
346,-0.000213
345.5,-0.000195
345,0.000095
344.5,0.000185
344,-0.000577
343.5,0.000258
343,-0.000356
342.5,0.000441
342,-0.000144
341.5,-0.000153
341,-0.00021
340.5,-0.000118
340,0.000279
339.5,0.00012
339,-0.000596
338.5,-0.000232
338,-0.000234
337.5,-0.000507
337,-0.000279
336.5,0.000008
336,0.000252
335.5,0.000131
335,0.000328
334.5,0.000119
334,-0.000527
333.5,0.000251
333,0.000185
332.5,-0.000356
332,-0.000194
331.5,-0.000309
331,-0.000091
330.5,0.000343
330,0.000018
329.5,0.000097
329,0.000186
328.5,0.000189
328,0.000015
327.5,0.000032
327,-0.000284
326.5,-0.000084
326,-0.00016
325.5,-0.000166
325,0.000043
324.5,-0.000217
324,0.000098
323.5,-0.000161
323,0.000035
322.5,0.000086
322,0.000115
321.5,0.000072
321,-0.000022
320.5,-0.000094
320,-0.00001
319.5,-0.000182
319,0.00022
318.5,-0.00013
318,-0.00009
317.5,0.00001
317,-0.000059
316.5,-0.000013
316,-0.000259
315.5,-0.000065
315,-0.000107
314.5,-0.000093
314,0.000056
313.5,-0.00024
313,0.000371
312.5,0
312,-0.000139
311.5,0.000084
311,-0.000057
310.5,-0.000232
310,-0.000314
309.5,-0.000098
309,-0.000096
308.5,-0.000087
308,0.000151
307.5,-0.000077
307,0.000012
306.5,-0.000238
306,-0.00003
305.5,-0.000188
305,-0.000085
304.5,0
304,0.000297
303.5,-0.000034
303,-0.000252
302.5,-0.000151
302,-0.000074
301.5,0.000117
301,0.000039
300.5,-0.000218
300,-0.000035
299.5,-0.000038
299,-0.000009
298.5,0.000009
298,-0.000135
297.5,-0.000134
297,-0.000057
296.5,-0.000051
296,0.000163
295.5,-0.000171
295,-0.000131
294.5,-0.00011
294,-0.000059
293.5,-0.000118
293,0.000163
292.5,0.000321
292,-0.000355
291.5,-0.000073
291,-0.000272
290.5,-0.000088
290,-0.000004
289.5,0.000081
289,-0.000227
288.5,0.000014
288,-0.000107
287.5,0.000168
287,-0.00019
286.5,-0.000066
286,0.000066
285.5,-0.000044
285,-0.000302
284.5,-0.000107
284,-0.00014
283.5,-0.000138
283,-0.000313
282.5,-0.000371
282,-0.000208
281.5,0.000186
281,-0.000119
280.5,-0.000098
280,0.000294
279.5,0.000263
279,0.000006
278.5,0.000121
278,0.000198
277.5,0.000224
277,-0.000043
276.5,0.000136
276,0.000022
275.5,0.000142
275,0.00002
274.5,-0.000149
274,0.000029
273.5,-0.000244
273,-0.00013
272.5,-0.000009
272,-0.000072
271.5,-0.000022
271,-0.000196
270.5,-0.000334
270,0.000286
269.5,0.000073
269,-0.000064
268.5,-0.000004
268,-0.000024
267.5,0.00023
267,-0.000104
266.5,0.000119
266,-0.00006
265.5,-0.000015
265,-0.00002
264.5,0.000116
264,-0.000161
263.5,-0.000155
263,-0.000163
262.5,-0.000033
262,-0.000188
261.5,-0.000151
261,0.000109
260.5,0.000045
260,-0.000186
259.5,0.000013
259,0.000046
258.5,-0.00002
