f2,
8/19/16 12:40,
Wavelength (nm),Absorbance
373.5,0.005366
373,0.005076
372.5,0.005049
372,0.005
371.5,0.004465
371,0.00532
370.5,0.005031
370,0.005039
369.5,0.005078
369,0.005343
368.5,0.005156
368,0.005128
367.5,0.005226
367,0.004645
366.5,0.004674
366,0.004769
365.5,0.004575
365,0.005069
364.5,0.005265
364,0.005481
363.5,0.005518
363,0.004972
362.5,0.004721
362,0.00496
361.5,0.005474
361,0.005275
360.5,0.005286
360,0.00541
359.5,0.004902
359,0.005781
358.5,0.005696
358,0.005888
357.5,0.005362
357,0.0057
356.5,0.005548
356,0.005416
355.5,0.005664
355,0.006092
354.5,0.005342
354,0.005574
353.5,0.005136
353,0.005633
352.5,0.005554
352,0.005929
351.5,0.005761
351,0.005941
350.5,0.006178
350,0.005487
349.5,0.006063
349,0.006555
348.5,0.006891
348,0.006106
347.5,0.006186
347,0.005843
346.5,0.005924
346,0.006442
345.5,0.005999
345,0.006013
344.5,0.006583
344,0.005952
343.5,0.006576
343,0.006484
342.5,0.006346
342,0.006687
341.5,0.007165
341,0.007166
340.5,0.00732
340,0.006213
339.5,0.006864
339,0.006809
338.5,0.006421
338,0.006797
337.5,0.007508
337,0.006829
336.5,0.006868
336,0.00704
335.5,0.006905
335,0.007296
334.5,0.007291
334,0.006767
333.5,0.007673
333,0.007851
332.5,0.007674
332,0.007381
331.5,0.00724
331,0.007619
330.5,0.007898
330,0.007596
329.5,0.008017
329,0.007617
328.5,0.007882
328,0.007915
327.5,0.007699
327,0.007904
326.5,0.007751
326,0.007956
325.5,0.008268
325,0.00819
324.5,0.008263
324,0.00833
323.5,0.008453
323,0.008776
322.5,0.008683
322,0.008841
321.5,0.008761
321,0.008723
320.5,0.009099
320,0.008885
319.5,0.009063
319,0.009255
318.5,0.009319
318,0.009326
317.5,0.009347
317,0.009231
316.5,0.009496
316,0.00955
315.5,0.009805
315,0.009649
314.5,0.009833
314,0.00992
313.5,0.009804
313,0.010291
312.5,0.010282
312,0.010131
311.5,0.010677
311,0.010513
310.5,0.010703
310,0.010257
309.5,0.010849
309,0.010703
308.5,0.010866
308,0.010998
307.5,0.011234
307,0.011338
306.5,0.0112
306,0.011335
305.5,0.011416
305,0.011985
304.5,0.011889
304,0.012077
303.5,0.01198
303,0.012071
302.5,0.011949
302,0.012652
301.5,0.012608
301,0.012764
300.5,0.01277
300,0.012923
299.5,0.013084
299,0.013324
298.5,0.013318
298,0.0134
297.5,0.013503
297,0.013643
296.5,0.014085
296,0.014059
295.5,0.01415
295,0.014357
294.5,0.014629
294,0.014623
293.5,0.014786
293,0.015095
292.5,0.015267
292,0.015205
291.5,0.015541
291,0.015588
290.5,0.015977
290,0.01588
289.5,0.016284
289,0.016094
288.5,0.016432
288,0.016643
287.5,0.017161
287,0.016984
286.5,0.017299
286,0.017413
285.5,0.017612
285,0.017799
284.5,0.01774
284,0.018214
283.5,0.018355
283,0.018495
282.5,0.018625
282,0.018629
281.5,0.019276
281,0.019302
280.5,0.019544
280,0.019878
279.5,0.0199
279,0.019943
278.5,0.02035
278,0.020246
277.5,0.020521
277,0.020622
276.5,0.021023
276,0.021462
275.5,0.021166
275,0.021706
274.5,0.021797
274,0.021931
273.5,0.022151
273,0.022312
272.5,0.02239
272,0.022527
271.5,0.022627
271,0.023101
270.5,0.023128
270,0.023396
269.5,0.023474
269,0.023634
268.5,0.023698
268,0.023855
267.5,0.024509
267,0.024206
266.5,0.024593
266,0.024664
265.5,0.024634
265,0.024947
264.5,0.02492
264,0.025185
263.5,0.025048
263,0.025467
262.5,0.025837
262,0.025858
261.5,0.025739
261,0.026252
260.5,0.02639
260,0.0263
259.5,0.02656
259,0.026822
258.5,0.026689
258,0.027156
257.5,0.027131
257,0.026926
256.5,0.027273
256,0.027641
255.5,0.027693
255,0.027777
254.5,0.027734
254,0.028007
253.5,0.028044
253,0.028249
252.5,0.028567
252,0.028632
251.5,0.029004
251,0.029076
250.5,0.029326
250,0.029287
249.5,0.029652
249,0.029555
248.5,0.029966
248,0.030075
247.5,0.030172
247,0.03054
246.5,0.030863
246,0.031049
245.5,0.031372
245,0.031522
244.5,0.031576
244,0.032027
243.5,0.032313
243,0.032531
242.5,0.032926
242,0.033096
241.5,0.033412
241,0.034029
240.5,0.034357
240,0.034801
